Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
22-0269,124,,,,B1L6M27,S1.A,606,STUDIO,B1L6M27,S1.A,606,STUDIO,,,,,,,
22-0270,125,,,,B1L4M21,C1.1.M (ADA),412,KITCHEN PEN,B1L4M21,C1.C (HI),411,KITCHEN PEN,,,,,,,
22-0271,126,,,,B1L2M25,STORAGE,"234, 238, 242, 232, 236, 240, 244",COMMON,B1L2M25,STORAGE,"234, 238, 242, 232, 236, 240, 244",COMMON,,,,,,,
22-0272,127,,,,B1L5M29,B1,502,BED/BATH,B1L5M29,B1.1,503,BED/BATH,,,,,,,
22-0273,128,,,,B1L4M30,B1,402,KITCHEN PEN,B1L4M30,B1.1-A.C (HI),403,KITCHEN PEN,,,,,,,
22-0274,129,,,,B1L6M28,S1,604,STUDIO,B1L6M28,S1,604,STUDIO,,,,,,,
22-0275,130,,,,B1L4M20,C1.1.M (ADA),412,BED/BATH,B1L4M20,C1.C (HI),411,BED/BATH,,,,,,,
22-0276,131,,,,B1L4M28,S1,404,STUDIO,B1L4M28,S1,404,STUDIO,,,,,,,
22-0277,132,,,,B1L3M25,STORAGE,"334, 338, 342, 332, 336, 340, 344",COMMON,B1L3M25,STORAGE,"334, 338, 342, 332, 336, 340, 344",COMMON,,,,,,,
22-0278,133,,,,B1L5M30,B1,502,KITCHEN PEN,B1L5M30,B1.1,503,KITCHEN PEN,,,,,,,
22-0279,134,,,,B1L6M31,"STAIR 2, STORAGE","609, 651",COMMON,B1L6M31,S1-D,601,STUDIO,,,,,,,
22-0280,135,,,,B1L3M28,S1,304,STUDIO,B1L3M28,S1,304,STUDIO,,,,,,,
22-0281,136,,,,B1L6M23,S1-C,610,STUDIO,B1L6M23,S1-C,610,STUDIO,,,,,,,
22-0282,137,,,,B1L3M22,C1.1.C (HI),312,BED/BATH,B1L3M22,C1,311,BED/BATH,,,,,,,
22-0283,138,,,,B1L5M20,C1.1.M (ADA),512,BED/BATH,B1L5M20,C1,511,BED/BATH,,,,,,,
22-0284,139,,,,B1L6M30,B1,602,KITCHEN PEN,B1L6M30,B1.1,603,KITCHEN PEN,,,,,,,
22-0285,140,,,,B1L4M25,STORAGE,"434, 438, 442, 444, 440, 436, 432",COMMON,B1L4M25,STORAGE,"434, 438, 442, 444, 440, 436, 432",COMMON,,,,,,,
22-0286,141,,,,B1L5M21,C1.1.M (ADA),512,KITCHEN PEN,B1L5M21,C1,511,KITCHEN PEN,,,,,,,
22-0287,142,,,,B1L6M29,B1,602,BED/BATH,B1L6M29,B1.1,603,BED/BATH,,,,,,,
22-0288,143,,,,B1L4M22,C1.1.M (ADA),412,BED/BATH,B1L4M22,C1.C (HI),411,BED/BATH,,,,,,,
22-0289,144,,,,B1L5M25,STORAGE,"534, 538, 542, 544, 540, 536, 532",COMMON,B1L5M25,STORAGE,"534, 538, 542, 544, 540, 536, 532",COMMON,,,,,,,
22-0290,145,,,,B1L6M20,C1.1,612,BED/BATH,B1L6M20,C1,611,BED/BATH,,,,,,,
22-0291,146,,,,B1L5M22,C1.1.M (ADA),512,BED/BATH,B1L5M22,C1,511,BED/BATH,,,,,,,
22-0292,147,,,,B1L6M25,STORAGE,"634, 638, 642, 644, 640, 636, 632",COMMON,B1L6M25,STORAGE,"634, 638, 642, 644, 640, 636, 632",COMMON,,,,,,,
22-0293,148,,,,B1L5M28,S1,504,STUDIO,B1L5M28,S1,504,STUDIO,,,,,,,
22-0294,149,,,,B1L6M22,C1.1,612,BED/BATH,B1L6M22,C1,611,BED/BATH,,,,,,,
