Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
22-0110,110,,,,BVL3M09,STAIR 2,V2,,BVL3M09,ELEV/IDF/TRASH,"V3, V370, V380",,,,,,,,
22-0111,111,,,,BVL3M14,S1-D,N/A,,BVL4M14,S1-D (C)(HI),V411,,,,,,,,
22-0112,112,,,,BVL3M07,S1-A.1,V307,,BVL3M07,S1-A.1,V308,,,,,,,,
22-0113,113,,,,BVL3M06,S1-B,V305,,BVL3M06,1A (M)(ADA),V306,,,,,,,,
22-0114,114,,,,BVL3M11,S1-A,V314,,BVL3M13,S1-A,V312,,,,,,,,
22-0115,115,,,,BVL4M07,S1-A.1,V407,,BVL4M07,S1-A.1,V408,,,,,,,,
22-0116,116,,,,BVL4M06,S1-B,V405,,BVL4M06,1A,V406,,,,,,,,
22-0117,117,,,,BVL2M05,"STAIR 1, LOBBY","V1, V216",,BVL2M05,1A,V206,,,,,,,,
22-0118,118,,,,BVL5M14,S1-D (C)(HI),N/A,,BVL5M14,S1-D (C)(HI),V511,,,,,,,,
22-0119,119,,,,BVL3M03,S2-B,V303,,BVL3M03,S2-B,V304,,,,,,,,
22-0120,120,,,,BVL4M08,S1-C.1,V409,,BVL4M08,S1-C.1 (M)(ADA),V410,,,,,,,,
22-0121,121,,,,BVL3M02,S2-A,V301,,BVL3M02,S2-A,V302,,,,,,,,
22-0122,122,,,,BVL3M10,S1-D,N/A,,BVL4M10,S1-D,V415,,,,,,,,
22-0123,123,,,,BVL3M05,STAIR 1,V1,,BVL3M05,1A (M)(ADA),V306,,,,,,,,
22-0124,124,,,,BVL4M04,S2-B,V403,,BVL4M04,S2-B,V404,,,,,,,,
22-0125,125,,,,BVL4M02,S2-A,V401,,BVL4M02,S2-A,V402,,,,,,,,
22-0126,126,,,,BVL4M01,S2-A,V401,,BVL4M01,S2-A,V402,,,,,,,,
22-0127,127,,,,BVL4M09,STAIR 2,V2,,BVL4M09,ELEV/IDF/TRASH,"V3, V470, V480",,,,,,,,
22-0128,128,,,,BVL3M12,S1-C (M)(ADA),N/A,,BVL4M12,S1-C (M)(ADA),V413,,,,,,,,
22-0129,129,,,,BVL5M01,S2-A,V501,,BVL5M01,S2-A (C)(HI),V502,,,,,,,,
22-0130,130,,,,BVL5M07,S1-A.1,V507,,BVL5M07,S1-A.1,V508,,,,,,,,
22-0131,131,,,,BVL5M06,S1-B,V505,,BVL5M06,1A (C)(HI),V506,,,,,,,,
22-0132,132,,,,BVL4M11,S1-A,V414,,BVL4M13,S1-A,V412,,,,,,,,
22-0133,133,,,,BVL5M08,S1-C.1,V509,,BVL5M08,S1-C.1 (M)(ADA),V510,,,,,,,,
22-0134,134,,,,BVL4M05,STAIR 1,V1,,BVL4M05,1A,V406,,,,,,,,
22-0135,135,,,,BVL5M12,S1-C,N/A,,BVL5M12,S1-C,V513,,,,,,,,
22-0136,136,,,,BVL5M04,S2-B,V503,,BVL5M04,S2-B (M)(ADA),V504,,,,,,,,
22-0137,137,,,,BVL3M01,S2-A,V301,,BVL3M01,S2-A,V302,,,,,,,,
22-0138,138,,,,BVL5M09,STAIR 2,V2,,BVL5M09,ELEV/IDF/TRASH,"V3, V470, V480",,,,,,,,
22-0139,139,,,,BVL5M03,S2-B,V503,,BVL5M03,S2-B (M)(ADA),V504,,,,,,,,
22-0140,140,,,,BVL5M02,S2-A,V501,,BVL5M02,S2-A (C)(HI),V502,,,,,,,,
22-0141,141,,,,BVL5M11,2A,V514,,BVL5M13,S1-A,V512,,,,,,,,
22-0142,142,,,,BVL3M04,S2-B,V303,,BVL3M04,S2-B,V304,,,,,,,,
22-0143,143,,,,BVL5M05,STAIR 1,V1,,BVL5M05,1A (C)(HI),V506,,,,,,,,
22-0144,144,,,,BVL4M03,S2-B,V403,,BVL4M03,S2-B,V404,,,,,,,,
22-0145,145,,,,BVL5M10,2A,N/A,,BVL5M10,2A,V514,,,,,,,,
