Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto
25-0971,14,13.5,61.667,832.5045,B1L4M23,STUDIO-S,L-402,STUDIO,B1L4M23,STUDIO-S.C (HI),L-406,STUDIO,,,,,X,,
25-0972,15,13.667,41.708,570.023236,B1L6M26,2 BEDROOM,L-604,BED / BA / BED,B1L6M26,2 BEDROOM,L-604,BED / BA / BED,X,,,X,,,
25-0973,16,13.5,62.167,839.2545,B1L2M22,1 BEDROOM.M (ADA),L-201,KIT,B1L2M22,STUDIO-S,L-207,STUDIO,,,,,,,
25-0974,17,13.5,61.167,825.7545,B1L6M23,STUDIO-S,L-602,STUDIO,B1L6M23,STUDIO-S.C,L-606,STUDIO,,,,,X,,
25-0975,18,13.5,35.917,484.8795,B1L3M15,STUDIO-S,L-309,STUDIO,B1L3M15,STUDIO-S,L-309,STUDIO,,,X,X,,,
25-0976,19,13.5,61.667,832.5045,B1L5M23,STUDIO-S,L-502,STUDIO,B1L5M23,STUDIO-S.C (HI),L-506,STUDIO,,,,,X,,
25-0977,20,9.833,43.25,425.27725,B1L3M18,"ELEVATOR, TRASH","L-336, L-334",COMMON,B1L3M18,"ELEVATOR, TRASH","L-336, L-334",COMMON,,,,X,,,
25-0978,21,13.5,62.167,839.2545,B1L3M22,1 BEDROOM,L-301,KIT,B1L3M22,STUDIO-S,L-307,STUDIO,,,,,,,
25-0979,22,13.5,62.167,839.2545,B1L4M22,1 BEDROOM.M (ADA),L-401,KIT,B1L4M22,STUDIO-S,L-407,STUDIO,,,,,,,
25-0980,23,13.667,41.708,570.023236,B1L3M26,2 BEDROOM,L-304,BED / BA / BED,B1L3M26,2 BEDROOM,L-304,BED / BA / BED,X,,,X,,,
26-0001,24,13.5,36.417,491.6295,B1L2M21,1 BEDROOM.M (ADA),L-201,BED / BA,B1L2M21,1 BEDROOM.M (ADA),L-201,BED / BA,,,,X,,,
26-0002,25,13.5,67.666,913.491,B1L2M08,STUDIO-S,L-225,STUDIO,B1L2M09,STUDIO-S,L-226,STUDIO,,,,,X,X,
26-0003,26,13.5,36.417,491.6295,B1L3M21,1 BEDROOM,L-301,BED / BA,B1L3M21,1 BEDROOM,L-310,BED / BA,,,,X,,,
26-0004,27,13.5,61.667,832.5045,B1L6M22,1 BEDROOM,L-601,KIT,B1L6M22,STUDIO-S,L-607,STUDIO,,,,,,,
26-0005,28,13.5,36.417,491.6295,B1L4M21,1 BEDROOM.M (ADA),L-401,BED / BA,B1L4M21,1 BEDROOM.M (ADA),L-401,BED / BA,,,,X,,,
26-0006,29,13.5,67.666,913.491,B1L3M08,0,L-325,STUDIO,B1L3M09,STUDIO-S,L-326,STUDIO,,,,,X,X,
26-0007,30,13.5,69.667,940.5045,B1L3M25,STUDIO-S.M (ADA),L-303,STUDIO,B1L3M25,2 BEDROOM,L-304,KIT,X,,,,,,
26-0008,31,13.5,36.417,491.6295,B1L6M21,1 BEDROOM,L-601,BED / BA,B1L6M21,1 BEDROOM,L-601,BED / BA,,,,X,,,
26-0009,32,13.5,63.167,852.7545,B1L4M24,"STAIR 2, IDF","L-432, L-437",COMMON,B1L4M24,STUDIO-S,L-405,STUDIO,,X,,,,,
26-0010,33,13.5,36.417,491.6295,B1L2M20,1 BEDROOM,L-200,BED / BA,B1L2M20,1 BEDROOM,L-200,BED / BA,,,,X,,,
26-0011,34,13.5,67.666,913.491,B1L4M08,STUDIO-S,L-425,STUDIO,B1L4M09,STUDIO-S,L-426,STUDIO,,,,,X,X,
26-0012,35,13.5,36.417,491.6295,B1L3M20,1 BEDROOM,L-300,BED / BA,B1L3M20,1 BEDROOM,L-300,BED / BA,,,,X,,,
26-0013,36,13.5,35.917,484.8795,B1L4M20,1 BEDROOM,L-400,BED / BA,B1L4M20,1 BEDROOM,L-400,BED / BA,,,,X,,,
26-0014,37,13.5,67.666,913.491,B1L5M08,STUDIO-S,L-525,STUDIO,B1L5M09,STUDIO-S,L-526,STUDIO,,,,,X,X,
26-0015,38,9.833,43.25,425.27725,B1L4M18,"ELEVATOR, TRASH","L-436, L-434",COMMON,B1L4M18,"ELEVATOR, TRASH","L-436, L-434",COMMON,,,,X,,,
26-0016,39,13.5,69.667,940.5045,B1L4M25,STUDIO-S.M (ADA),L-403,STUDIO,B1L4M25,2 BEDROOM.C (HI),L-404,KIT,X,,,,,,
26-0017,40,13.5,35.917,484.8795,B1L4M15,STUDIO-S,L-409,STUDIO,B1L4M15,STUDIO-S,L-409,STUDIO,,,X,X,,,
26-0018,41,13.5,35.917,484.8795,B1L5M20,1 BEDROOM,L-500,BED / BA,B1L5M20,1 BEDROOM,L-500,BED / BA,,,,X,,,
26-0019,42,13.5,67.666,913.491,B1L6M08,STUDIO-S,L-625,STUDIO,B1L6M09,STUDIO-S,L-626,STUDIO,,,,,X,X,
26-0020,43,13.5,35.917,484.8795,B1L6M20,1 BEDROOM,L-600,BED / BA,B1L6M20,1 BEDROOM,L-600,BED / BA,,,,X,,,
26-0021,44,13.5,63.167,852.7545,B1L5M24,"STAIR 2, ELEC","L-532, L-537",COMMON,B1L5M24,STUDIO-S,L-505,STUDIO,,X,,,,,
26-0022,45,13.5,43.25,583.875,B1L2M17,"STOR, ELEC/IDF","L-236, l235",COMMON,B1L2M17,"STOR, ELEC/IDF","L-236, l235",COMMON,,,,X,,,
26-0023,46,13.5,62.167,839.2545,B1L2M07,STUDIO-S,L-224,STUDIO,B1L2M07,STUDIO-S,L-213,STUDIO,,,,,X,,
26-0024,47,13.5,43.25,583.875,B1L3M17,STUDIO-S.M (ADA),L-328,STUDIO,B1L3M17,STUDIO-S.M (ADA),L-328,STUDIO,,,,X,,,
26-0025,48,13.5,69.667,940.5045,B1L6M25,STUDIO-S.M (ADA),L-603,STUDIO,B1L6M25,2 BEDROOM,L-604,KIT,X,,,,,,
26-0026,49,13.5,43.25,583.875,B1L4M17,STUDIO-S.M (ADA),L-428,STUDIO,B1L4M17,STUDIO-S.M (ADA),L-428,STUDIO,,,,X,,,
26-0027,50,13.5,35.917,484.8795,B1L5M15,STUDIO-S,L-509,STUDIO,B1L5M15,STUDIO-S,L-509,STUDIO,,,X,X,,,
26-0028,51,13.5,43.25,583.875,B1L6M17,STUDIO-S.M (ADA),L-628,STUDIO,B1L6M17,STUDIO-S.M (ADA),L-628,STUDIO,,,,X,,,
26-0029,52,13.5,62.167,839.2545,B1L3M07,STUDIO-S,L-324,STUDIO,B1L3M07,STUDIO-S,L-313,STUDIO,,,,,X,,
26-0030,53,13.5,35.917,484.8795,B1L2M16,STUDIO-S.M (ADA),L-208,STUDIO,B1L2M16,STUDIO-S.M (ADA),L-208,STUDIO,,,,X,,,
26-0031,54,13.667,70.167,958.972389,B1L3M01,STUDIO-S,L319,STUDIO,B1L3M01,2 BEDROOM.M (ADA),L-318,BED / BA / BED,X,,,,,,
26-0032,55,13.5,35.917,484.8795,B1L3M16,STUDIO-S,L-308,STUDIO,B1L3M16,STUDIO-S,L-308,STUDIO,,,,X,,,
26-0033,56,13.5,35.917,484.8795,B1L4M16,STUDIO-S,L-408,STUDIO,B1L4M16,STUDIO-S,L-408,STUDIO,,,,X,,,
26-0034,57,13.5,62.667,846.0045,B1L6M24,"STAIR 2, IDF","L-632, L-637",COMMON,B1L6M24,STUDIO-S,L-605,STUDIO,,X,,,,,
26-0035,58,13.5,35.917,484.8795,B1L5M16,STUDIO-S,L-506,STUDIO,B1L5M16,STUDIO-S,L-506,STUDIO,,,,X,,,
26-0036,59,13.5,35.917,484.8795,B1L3M12,1 BEDROOM.C (HI),L-312,BED / BA,B1L3M12,1 BEDROOM.C (HI),L-312,BED / BA,,,,X,,,
26-0037,60,13.5,62.167,839.2545,B1L4M07,STUDIO-S,L-424,STUDIO,B1L4M07,STUDIO-S,L-413,STUDIO,,,,,X,,
26-0038,61,13.5,35.917,484.8795,B1L2M13,STUDIO-S,L-211,STUDIO,B1L2M13,STUDIO-S,L-211,STUDIO,,,,X,,,
26-0039,62,13.5,35.917,484.8795,B1L6M15,STUDIO-S,L-609,STUDIO,B1L6M15,STUDIO-S,L-609,STUDIO,,,X,X,,,
26-0040,63,13.5,62.167,839.2545,B1L5M07,STUDIO-S,L-524,STUDIO,B1L5M07,STUDIO-S,L-513,STUDIO,,,,,X,,
26-0041,64,13.5,35.917,484.8795,B1L4M13,STUDIO-S,L-411,STUDIO,B1L4M13,STUDIO-S,L-411,STUDIO,,,,X,,,
26-0042,65,13.667,67.166,917.957722,B1L3M10,STUDIO-S.C (HI),L-327,STUDIO,B1L2M10,STUDIO-S.C (HI),L-227,STUDIO,X,,,,X,X,
26-0043,66,13.5,35.917,484.8795,B1L5M13,STUDIO-S,L-511,STUDIO,B1L5M13,STUDIO-S,L-511,STUDIO,,,,X,,,
26-0044,67,13.5,61.667,832.5045,B1L6M07,STUDIO-S,L-624,STUDIO,B1L6M07,STUDIO-S,L-613,STUDIO,,,,,X,,
26-0045,68,13.5,35.917,484.8795,B1L6M13,STUDIO-S,L-611,STUDIO,B1L6M13,STUDIO-S,L-611,STUDIO,,,,X,,,
26-0046,69,13.5,35.917,484.8795,B1L2M12,1 BEDROOM,L-212,BED / BA,B1L2M12,1 BEDROOM,L-212,BED / BA,,,,X,,,
26-0047,70,13.667,69.917,955.555639,B1L5M01,STUDIO-S,L-519,STUDIO,B1L5M01,2 BEDROOM.M (ADA),L-518,BED / BA / BED,X,,,,,,
26-0048,71,13.5,35.917,484.8795,B1L6M16,STUDIO-S,L-608,STUDIO,B1L6M16,STUDIO-S,L-608,STUDIO,,,,X,,,
26-0049,72,13.5,63.167,852.7545,B1L2M03,"STAIR 1, ELEC",L-231,COMMON,B1L2M03,STUDIO-S,L-217,STUDIO,,X,,,,,
26-0050,73,13.5,35.917,484.8795,B1L4M12,1 BEDROOM,L-412,BED / BA,B1L4M12,1 BEDROOM,L-412,BED / BA,,,,X,,,
26-0051,74,13.5,62.167,839.2545,B1L2M06,STUDIO-S.M (ADA),L-223,STUDIO,B1L2M06,STUDIO-S.M (ADA),L-214,STUDIO,,,,,X,,
