Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X)
25-0864,239,13.33,40.33,537.5989,B1L3M16,S1.1,342,STUDIO,B1L3M16,S1.1,342,STUDIO,,,X,X,x,x
25-0865,240,11.33,40.33,456.9389,B1L5M13,TRASH / STOR,"C532, C531, C530, C529",COMMON,B1L5M13,TRASH / STOR,"C532, C531, C530, C529",COMMON,,,,X,,
25-0866,241,11.33,57,645.81,B1L6M08,B1,650,BED / BA,B1L6M08,B1 ,651,BED / BA,,,,,,
25-0867,242,11.33,57,645.81,B1L4M09,B1,450,LIV / KIT,B1L4M09,B1 ,451,LIV / KIT,,,,,,
25-0868,243,13.33,38.33,510.9389,B1L4M18,S1,438,STUDIO,B1L4M18,S1,438,STUDIO,,,,X,x,x
25-0869,244,13.33,40.33,537.5989,B1L4M16,S1.1,442,STUDIO,B1L4M16,S1.1,442,STUDIO,,,X,X,x,x
25-0870,245,11.33,57,645.81,B1L5M09,B1,550,LIV / KIT,B1L5M09,B1 ,551,LIV / KIT,,,,,,
25-0871,246,11.33,57,645.81,B1L4M31,B1,426,BED / BA,B1L4M31,B1-M,423,BED / BA,X,,,,,
25-0872,247,11.33,57,645.81,B1L6M09,B1,650,LIV / KIT,B1L6M09,B1 ,651,LIV / KIT,,,,,,
25-0873,248,13.33,40.33,537.5989,B1L5M16,S1.1,542,STUDIO,B1L5M16,S1.1,542,STUDIO,,,X,X,x,x
25-0874,249,11.33,40.33,456.9389,B1L6M13,TRASH / STOR,"C632, C631, C630, C629",COMMON,B1L6M13,TRASH / STOR,"C632, C631, C630, C629",COMMON,,,,X,,
25-0875,250,13.33,40.33,537.5989,B1L6M16,S1.1,642,STUDIO,B1L6M16,S1.1,642,STUDIO,,,X,X,x,x
25-0876,251,11.33,61,691.13,B1L3M33,B1-C,324,LIV / KIT,B1L2M33,B1-C,224,LIV / KIT,,,,,,
25-0877,252,13.33,40.33,537.5989,B1L5M14,S1.1-M,546,STUDIO,B1L5M14,S1.1-M,546,STUDIO,,,,X,x,x
25-0878,253,13.33,40.33,537.5989,B1L6M14,S1.1,646,STUDIO,B1L6M14,S1.1,646,STUDIO,,,,X,x,x
25-0879,254,11.33,57,645.81,B1L2M28,"B1, STOR","228, C222",BED / STOR,B1L2M28,"B1-C, STOR","225, C223",BED / STOR,,,X,,,
25-0880,255,13.33,38.33,510.9389,B1L6M17,S1,640,STUDIO,B1L6M17,S1,640,STUDIO,,,,X,x,x
25-0881,256,11.33,61,691.13,B1L3M32,B1-C,324,BED / BA,B1L2M32,B1-C,224,BED / BA,,,,,,
25-0882,257,11.33,57,645.81,B1L3M28,"B1, STOR","328, C322",BED / STOR,B1L3M28,"B1, STOR","325, C323",BED / STOR,,,X,,,
25-0883,258,13.33,38.33,510.9389,B1L5M18,S1,538,STUDIO,B1L5M18,S1,538,STUDIO,,,,X,x,x
25-0884,259,11.33,57,645.81,B1L5M31,B1,526,BED / BA,B1L5M31,B1-M,523,BED / BA,X,,,,,
25-0885,260,13.33,38.33,510.9389,B1L2M19,S1-M,236,STUDIO,B1L2M19,S1-M,236,STUDIO,,,,X,x,x
25-0886,261,11.33,57,645.81,B1L4M28,"B1, STOR","428, C422",BED / STOR,B1L4M28,"B1, STOR","425, C423",BED / STOR,,,X,,,
25-0887,262,11.33,61,691.13,B1L5M33,B1-C,524,LIV / KIT,B1L4M33,B1-C,424,LIV / KIT,,,,,,
25-0888,263,11.33,56.33,638.2189,B1L2M22,LAUNDRY 2,C226,COMMON,B1L2M22,STOR / ELEC. 2,"C228, C227",COMMON,,,,,,
25-0889,264,11.33,57,645.81,B1L6M31,B1,626,BED / BA,B1L6M31,B1,623,BED / BA,X,,,,,
25-0890,265,11.33,61,691.13,B1L5M32,B1-C,524,BED / BA,B1L4M32,B1-C,424,BED / BA,,,,,,
25-0891,266,11.33,64,725.12,B1L2M23,"B1, STOR","230, C224",BED / STOR,B1L2M23,"C2, STOR","227, C225",BED / BA / STOR,,,,,,
25-0892,267,11.33,57,645.81,B1L5M28,"B1, STOR","528, C522",BED / STOR,B1L5M28,"B1, STOR","525, C523",BED / STOR,,,X,,,
25-0893,268,11.33,64,725.12,B1L3M23,"B1, STOR","330, C324",BED / STOR,B1L3M23,"C2, STOR","327, C325",BED / BA / STOR,,,,,,
25-0894,269,11.33,61,691.13,B1L6M32,B1-C,624,BED / BA,B1L6M33,B1-C,624,LIV / KIT,,,,,,
25-0895,270,13.33,38.33,510.9389,B1L6M18,S1,638,STUDIO,B1L6M18,S1,638,STUDIO,,,,X,x,x
25-0896,271,11.33,64,725.12,B1L4M23,"B1, STOR","430, C424",BED / STOR,B1L4M23,"C2, STOR","427, C425",BED / BA / STOR,,,,,,
25-0897,272,11.33,61,691.13,B1L3M35,A1-M,322,BED / BA,B1L2M35,A1-M,222,BED / BA,,,,,,
25-0898,273,11.33,57,645.81,B1L6M28,"B1, STOR","628, C622",BED / STOR,B1L6M28,"B1, STOR","625, C623",BED / STOR,,,X,,,
25-0899,274,11.33,64,725.12,B1L5M23,"B1, STOR","530, C524",BED / STOR,B1L5M23,"C2, STOR","527, C425",BED / BA / STOR,,,,,,
25-0900,275,11.33,56.33,638.2189,B1L3M22,LAUNDRY 2,C326,COMMON,B1L3M22,STOR / ELEC. 2,"C328, C327",COMMON,,,,,,
